 *** 평점순(현재 상영 영화) *** 
rank,title,point
1,인생은 뷰티풀: 비타돌체,9.79
2,탑건: 매버릭,9.77
3,명탐정 코난: 할로윈의 신부,9.47
4,천녀유혼,9.29
5,극장판 주술회전 0,9.24
6,어느 가족,9.20
7,사랑은 비를 타고,9.20
8,코다,9.14
9,1917,8.90
10,중경삼림,8.89
11,엘비스,8.83
12,고양이를 부탁해,8.81
13,한산: 용의 출현,8.76
14,후 아 유,8.74
15,본 투 비 블루,8.73
16,공조2: 인터내셔날,8.71
17,헤어질 결심,8.68
18,"지금, 이대로가 좋아요",8.66
19,육사오(6/45),8.64
20,실버라이닝 플레이북,8.57
21,태일이,8.45
22,헌트,8.43
23,레미제라블,8.39
24,큐어,8.32
25,리스본행 야간열차,8.31
26,킬 빌 - 1부,8.30
27,애프터 양,8.18
28,릴리 슈슈의 모든 것,8.12
29,혼자 사는 사람들,8.07
30,나는 나를 해고하지 않는다,8.04
31,오! 문희,8.01
32,블랙폰,7.71
33,사랑할 땐 누구나 최악이 된다,7.69
34,킬 빌 - 2부,7.61
35,썸머 필름을 타고!,7.54
36,놉,6.77
37,비상선언,6.51
38,브로커,5.54
39,늑대사냥,4.43
