 *** 평점순(모든 영화) *** 
rank,title,point
51,레옹,9.38
52,알라딘,9.38
53,클레멘타인,9.38
54,여인의 향기,9.38
55,잭 스나이더의 저스티스 리그,9.37
56,아이 캔 스피크,9.37
57,동주,9.37
58,해리 포터와 마법사의 돌,9.37
59,서유기 2 - 선리기연,9.36
60,안녕 베일리,9.36
61,다시 태어나도 우리,9.36
62,미스 슬로운,9.36
63,굿바이 마이 프랜드,9.36
64,주토피아,9.36
65,자산어보,9.36
66,굿 윌 헌팅,9.36
67,트루먼 쇼,9.35
68,세 얼간이,9.35
69,반지의 제왕: 두 개의 탑,9.35
70,범죄도시2,9.35
71,"지금, 만나러 갑니다",9.35
72,나 홀로 집에 2 - 뉴욕을 헤매다,9.35
73,에이리언 2,9.35
74,아기공룡 둘리 - 얼음별 대모험,9.35
75,모노노케 히메,9.35
76,로망,9.35
77,지상의 별처럼,9.35
78,미세스 다웃파이어,9.35
79,더 록,9.35
80,아마데우스,9.34
81,울지마 톤즈,9.34
82,다크 나이트,9.34
83,프리 윌리,9.34
84,오세암,9.34
85,알라딘,9.34
86,빌리 엘리어트,9.34
87,아이즈 온 미 : 더 무비,9.33
88,두 교황,9.33
89,언더독,9.33
90,아이 엠 샘,9.33
91,그대를 사랑합니다,9.33
92,러브 유어셀프 인 서울,9.33
93,언터처블: 1%의 우정,9.33
94,피아니스트,9.33
95,천공의 성 라퓨타,9.33
96,시네마 천국,9.33
97,프리퀀시,9.33
98,라푼젤,9.33
99,업,9.33
100,드래곤 길들이기,9.33
101,레옹,9.38
102,알라딘,9.38
103,클레멘타인,9.38
104,여인의 향기,9.38
105,잭 스나이더의 저스티스 리그,9.37
106,아이 캔 스피크,9.37
107,동주,9.37
108,해리 포터와 마법사의 돌,9.37
109,서유기 2 - 선리기연,9.36
110,안녕 베일리,9.36
111,다시 태어나도 우리,9.36
112,미스 슬로운,9.36
113,굿바이 마이 프랜드,9.36
114,주토피아,9.36
115,자산어보,9.36
116,굿 윌 헌팅,9.36
117,트루먼 쇼,9.35
118,세 얼간이,9.35
119,반지의 제왕: 두 개의 탑,9.35
120,범죄도시2,9.35
121,"지금, 만나러 갑니다",9.35
122,나 홀로 집에 2 - 뉴욕을 헤매다,9.35
123,에이리언 2,9.35
124,아기공룡 둘리 - 얼음별 대모험,9.35
125,모노노케 히메,9.35
126,로망,9.35
127,지상의 별처럼,9.35
128,미세스 다웃파이어,9.35
129,더 록,9.35
130,아마데우스,9.34
131,울지마 톤즈,9.34
132,다크 나이트,9.34
133,프리 윌리,9.34
134,오세암,9.34
135,알라딘,9.34
136,빌리 엘리어트,9.34
137,아이즈 온 미 : 더 무비,9.33
138,두 교황,9.33
139,언더독,9.33
140,아이 엠 샘,9.33
141,그대를 사랑합니다,9.33
142,러브 유어셀프 인 서울,9.33
143,언터처블: 1%의 우정,9.33
144,피아니스트,9.33
145,천공의 성 라퓨타,9.33
146,시네마 천국,9.33
147,프리퀀시,9.33
148,라푼젤,9.33
149,업,9.33
150,드래곤 길들이기,9.33
151,레옹,9.38
152,알라딘,9.38
153,클레멘타인,9.38
154,여인의 향기,9.38
155,잭 스나이더의 저스티스 리그,9.37
156,아이 캔 스피크,9.37
157,동주,9.37
158,해리 포터와 마법사의 돌,9.37
159,서유기 2 - 선리기연,9.36
160,안녕 베일리,9.36
161,다시 태어나도 우리,9.36
162,미스 슬로운,9.36
163,굿바이 마이 프랜드,9.36
164,주토피아,9.36
165,자산어보,9.36
166,굿 윌 헌팅,9.36
167,트루먼 쇼,9.35
168,세 얼간이,9.35
169,반지의 제왕: 두 개의 탑,9.35
170,범죄도시2,9.35
171,"지금, 만나러 갑니다",9.35
172,나 홀로 집에 2 - 뉴욕을 헤매다,9.35
173,에이리언 2,9.35
174,아기공룡 둘리 - 얼음별 대모험,9.35
175,모노노케 히메,9.35
176,로망,9.35
177,지상의 별처럼,9.35
178,미세스 다웃파이어,9.35
179,더 록,9.35
180,아마데우스,9.34
181,울지마 톤즈,9.34
182,다크 나이트,9.34
183,프리 윌리,9.34
184,오세암,9.34
185,알라딘,9.34
186,빌리 엘리어트,9.34
187,아이즈 온 미 : 더 무비,9.33
188,두 교황,9.33
189,언더독,9.33
190,아이 엠 샘,9.33
191,그대를 사랑합니다,9.33
192,러브 유어셀프 인 서울,9.33
193,언터처블: 1%의 우정,9.33
194,피아니스트,9.33
195,천공의 성 라퓨타,9.33
196,시네마 천국,9.33
197,프리퀀시,9.33
198,라푼젤,9.33
199,업,9.33
200,드래곤 길들이기,9.33
